individual_id,tattoo,year,quarter,q_index,n_capture_rows,p_min,p_max,p_mean,p_range
168,007Z,2019,2,8077,1,0.002590112,0.002590112,0.002590112,0
168,007Z,2019,3,8078,1,0.010912173,0.010912173,0.010912173,0
169,008A,2014,2,8057,1,4.54e-4,4.54e-4,4.54e-4,0
169,008A,2014,3,8058,1,0.002125042,0.002125042,0.002125042,0
169,008A,2014,4,8059,1,0.0255414,0.0255414,0.0255414,0
169,008A,2015,1,8060,1,0.83269015,0.83269015,0.83269015,0
169,008A,2015,2,8061,1,0.994831716,0.994831716,0.994831716,0
169,008A,2015,3,8062,1,1,1,1,0
169,008A,2015,4,8063,1,1,1,1,0
170,008B,2006,2,8025,1,2.85e-9,2.85e-9,2.85e-9,0
170,008B,2006,3,8026,1,3.01e-9,3.01e-9,3.01e-9,0
170,008B,2006,4,8027,1,5.77e-9,5.77e-9,5.77e-9,0
170,008B,2007,2,8029,1,2.32e-8,2.32e-8,2.32e-8,0
170,008B,2008,2,8033,1,7.28e-7,7.28e-7,7.28e-7,0
170,008B,2009,2,8037,1,1.79e-5,1.79e-5,1.79e-5,0
170,008B,2010,3,8042,1,5.44e-4,5.44e-4,5.44e-4,0
170,008B,2011,2,8045,1,0.00911891,0.00911891,0.00911891,0
171,008C,2016,2,8065,1,1.86e-4,1.86e-4,1.86e-4,0
171,008C,2016,3,8066,1,5.48e-4,5.48e-4,5.48e-4,0
171,008C,2016,4,8067,1,0.00231202,0.00231202,0.00231202,0
172,008D,2022,3,8090,1,0.002480628,0.002480628,0.002480628,0
173,008E,2013,2,8053,1,0.001689626,0.001689626,0.001689626,0
173,008E,2013,3,8054,1,0.004684587,0.004684587,0.004684587,0
174,008F,2010,2,8041,1,0.005015805,0.005015805,0.005015805,0
175,008G,2003,2,8013,1,0.003206712,0.003206712,0.003206712,0
175,008G,2003,4,8015,1,0.009968541,0.009968541,0.009968541,0
176,008H,2020,3,8082,1,0.002918063,0.002918063,0.002918063,0
177,008J,2023,3,8094,1,0.012163552,0.012163552,0.012163552,0
178,008K,2012,2,8049,1,0.016947677,0.016947677,0.016947677,0
179,008L,2011,3,8046,2,6.5e-4,6.5e-4,6.5e-4,0
179,008L,2012,2,8049,1,0.057694121,0.057694121,0.057694121,0
179,008L,2013,2,8053,1,0.866686189,0.866686189,0.866686189,0
180,008M,2018,2,8073,1,2.28e-5,2.28e-5,2.28e-5,0
180,008M,2018,3,8074,2,3.41e-5,3.41e-5,3.41e-5,0
180,008M,2018,4,8075,1,4.58e-4,4.58e-4,4.58e-4,0
180,008M,2019,2,8077,1,0.01101566,0.01101566,0.01101566,0
180,008M,2019,3,8078,1,0.016660227,0.016660227,0.016660227,0
180,008M,2020,3,8082,1,0.048352942,0.048352942,0.048352942,0
181,008N,2009,2,8037,1,0.068140612,0.068140612,0.068140612,0
181,008N,2009,3,8038,1,0.083069472,0.083069472,0.083069472,0
182,008P,2008,2,8033,1,6.23e-6,6.23e-6,6.23e-6,0
182,008P,2008,3,8034,1,7.61e-6,7.61e-6,7.61e-6,0
182,008P,2009,1,8036,1,1.1e-5,1.1e-5,1.1e-5,0
182,008P,2009,2,8037,1,1.11e-5,1.11e-5,1.11e-5,0
182,008P,2009,4,8039,2,1.11e-5,1.11e-5,1.11e-5,0
182,008P,2010,2,8041,1,2.14e-5,2.14e-5,2.14e-5,0
182,008P,2011,1,8044,1,2.97e-4,2.97e-4,2.97e-4,0
182,008P,2011,2,8045,1,0.004119697,0.004119697,0.004119697,0
183,008Q,2024,2,8097,1,3.07e-6,3.07e-6,3.07e-6,0
183,008Q,2024,3,8098,1,1.69e-5,1.69e-5,1.69e-5,0
183,008Q,2024,4,8099,1,8.49e-5,8.49e-5,8.49e-5,0
183,008Q,2025,3,8102,1,0.003068497,0.003068497,0.003068497,0
183,008Q,2025,4,8103,1,0.006954632,0.006954632,0.006954632,0
184,008R,2004,2,8017,1,0.013775535,0.013775535,0.013775535,0
185,008S,2021,2,8085,1,0.01283606,0.01283606,0.01283606,0
186,008T,2017,2,8069,1,0.00569133,0.00569133,0.00569133,0
186,008T,2017,3,8070,1,0.008107181,0.008107181,0.008107181,0
188,008V,2015,2,8061,1,0.006208396,0.006208396,0.006208396,0
189,008W,2005,2,8021,1,2.08e-4,2.08e-4,2.08e-4,0
189,008W,2005,3,8022,1,4.53e-4,4.53e-4,4.53e-4,0
189,008W,2009,2,8037,1,0.017348945,0.017348945,0.017348945,0
190,008X,2025,3,8102,1,9.12e-4,9.12e-4,9.12e-4,0
190,008X,2025,4,8103,2,0.003531208,0.003531208,0.003531208,0
191,008Y,2007,2,8029,1,0.002851026,0.002851026,0.002851026,0
191,008Y,2007,3,8030,1,0.019916242,0.019916242,0.019916242,0
192,008Z,2019,2,8077,1,0.013152247,0.013152247,0.013152247,0
192,008Z,2019,3,8078,1,0.021386181,0.021386181,0.021386181,0
193,009A,2014,2,8057,1,0.001999499,0.001999499,0.001999499,0
193,009A,2014,3,8058,1,0.009362681,0.009362681,0.009362681,0
194,009B,2006,2,8025,1,3.5e-5,3.5e-5,3.5e-5,0
194,009B,2006,3,8026,1,3.7e-5,3.7e-5,3.7e-5,0
194,009B,2006,4,8027,1,5.2e-5,5.2e-5,5.2e-5,0
194,009B,2007,2,8029,1,1.47e-4,1.47e-4,1.47e-4,0
194,009B,2007,3,8030,1,0.001035246,0.001035246,0.001035246,0
195,009C,2016,2,8065,1,2.49e-5,2.49e-5,2.49e-5,0
195,009C,2016,3,8066,1,7.33e-5,7.33e-5,7.33e-5,0
195,009C,2016,4,8067,1,3.09e-4,3.09e-4,3.09e-4,0
195,009C,2017,1,8068,1,0.003249677,0.003249677,0.003249677,0
196,009D,2022,3,8090,1,0.001676834,0.001676834,0.001676834,0
196,009D,2022,4,8091,1,0.002522807,0.002522807,0.002522807,0
197,009E,2013,2,8053,1,0.018893448,0.018893448,0.018893448,0
198,009F,2010,2,8041,1,0.046087786,0.046087786,0.046087786,0
198,009F,2010,4,8043,2,0.439830546,0.439830546,0.439830546,0
198,009F,2011,1,8044,1,0.997904006,0.997904006,0.997904006,0
198,009F,2011,2,8045,1,0.999935334,0.999935334,0.999935334,0
198,009F,2011,3,8046,1,0.999969617,0.999969617,0.999969617,0
199,009G,2003,2,8013,1,0.013312603,0.013312603,0.013312603,0
200,009H,2020,3,8082,2,3.83e-4,3.83e-4,3.83e-4,0
201,009J,2023,4,8095,2,0.001608839,0.001608839,0.001608839,0
202,009K,2012,2,8049,1,0.051151562,0.051151562,0.051151562,0
202,009K,2012,3,8050,1,0.054869755,0.054869755,0.054869755,0
202,009K,2012,4,8051,2,0.082490443,0.082490443,0.082490443,0
202,009K,2013,2,8053,2,1,1,1,0
202,009K,2013,3,8054,2,1,1,1,0
203,009L,2011,3,8046,2,0.002224884,0.002224884,0.002224884,0
203,009L,2012,2,8049,1,0.197541067,0.197541067,0.197541067,0
203,009L,2012,3,8050,1,0.235133346,0.235133346,0.235133346,0
204,009M,2018,2,8073,1,1,1,1,0
204,009M,2018,3,8074,2,1,1,1,0
204,009M,2018,4,8075,1,1,1,1,0
204,009M,2019,2,8077,1,1,1,1,0
205,009N,2009,2,8037,1,1.1e-12,1.1e-12,1.1e-12,0
205,009N,2009,3,8038,1,7.31e-12,7.31e-12,7.31e-12,0
205,009N,2010,2,8041,1,3.58e-11,3.58e-11,3.58e-11,0
205,009N,2010,3,8042,1,2.51e-10,2.51e-10,2.51e-10,0
205,009N,2010,4,8043,2,3.88e-9,3.88e-9,3.88e-9,0
205,009N,2011,2,8045,1,4.94e-6,4.94e-6,4.94e-6,0
205,009N,2011,3,8046,2,2.52e-5,2.52e-5,2.52e-5,0
205,009N,2012,2,8049,1,0.009651764,0.009651764,0.009651764,0
206,009P,2008,2,8033,1,7.78e-20,7.78e-20,7.78e-20,0
206,009P,2008,3,8034,1,2.74e-19,2.74e-19,2.74e-19,0
206,009P,2008,4,8035,1,3.59e-18,3.59e-18,3.59e-18,0
206,009P,2009,1,8036,1,1.18e-17,1.18e-17,1.18e-17,0
206,009P,2009,2,8037,2,2.53e-17,2.53e-17,2.53e-17,0
206,009P,2009,4,8039,2,2.51e-16,2.51e-16,2.51e-16,0
206,009P,2010,1,8040,1,1.22e-13,1.22e-13,1.22e-13,0
206,009P,2010,2,8041,1,3.99e-12,3.99e-12,3.99e-12,0
206,009P,2010,3,8042,1,7.36e-12,7.36e-12,7.36e-12,0
206,009P,2010,4,8043,1,6.41e-11,6.41e-11,6.41e-11,0
206,009P,2011,2,8045,1,6.64e-9,6.64e-9,6.64e-9,0
206,009P,2011,3,8046,2,7.69e-9,7.69e-9,7.69e-9,0
206,009P,2012,2,8049,1,5.05e-7,5.05e-7,5.05e-7,0
206,009P,2012,3,8050,1,5.69e-7,5.69e-7,5.69e-7,0
206,009P,2012,4,8051,1,5.87e-7,5.87e-7,5.87e-7,0
206,009P,2013,2,8053,1,1.49e-6,1.49e-6,1.49e-6,0
206,009P,2013,3,8054,1,5.15e-6,5.15e-6,5.15e-6,0
206,009P,2013,4,8055,1,3.23e-5,3.23e-5,3.23e-5,0
206,009P,2014,2,8057,1,0.00117856,0.00117856,0.00117856,0
206,009P,2014,3,8058,1,0.001245201,0.001245201,0.001245201,0
206,009P,2014,4,8059,1,0.002178944,0.002178944,0.002178944,0
207,009Q,2024,2,8097,1,5.29e-8,5.29e-8,5.29e-8,0
207,009Q,2024,3,8098,1,2.91e-7,2.91e-7,2.91e-7,0
207,009Q,2024,4,8099,2,1.46e-6,1.46e-6,1.46e-6,0
207,009Q,2025,2,8101,1,2.9e-4,2.9e-4,2.9e-4,0
207,009Q,2025,3,8102,1,0.001085542,0.001085542,0.001085542,0
207,009Q,2025,4,8103,1,0.001846641,0.001846641,0.001846641,0
208,009R,2004,2,8017,1,0.002351969,0.002351969,0.002351969,0
