tattoo,primary,primary_year,SG_id,zone,Sett_Clean,x,y,n_loc_obs,entry_group
012L,37,2012,5,1,JACKSMIREY,380678,200030,2,1
012L,38,2013,5,1,JACKSMIREY,380678,200030,2,1
012L,39,2014,5,1,JACKSMIREY,380678,200030,2,1
012M,43,2018,15,1,KENNEL,382464,200922,1,1
012M,44,2019,15,1,KENNEL,382464,200922,1,1
012N,34,2009,3,1,BEECH,380931,201164,1,1
012P,33,2008,15,1,KENNEL,382464,200922,2,1
012P,35,2010,16,1,WOODRUSH,382713,200607,1,1
012P,36,2011,15,1,KENNEL,382464,200922,1,1
012P,37,2012,16,1,WOODRUSH,382713,200607,2,1
012P,38,2013,15,1,KENNEL,382464,200922,2,1
012R,29,2004,2,1,BOX,380621,201409,3,1
012R,30,2005,2,1,BOX,380621,201409,1,1
012R,31,2006,6,1,FOX,381016,201635,1,1
012R,32,2007,6,1,CEDAR,381022,201589,1,1
012T,42,2017,11,1,YEW,381619,201268,2,1
012V,40,2015,5,1,JACKSMIREY,380678,200030,1,2
012W,30,2005,999,2,HEDGE,381350,200278,1,1
012Y,32,2007,15,1,WYCHELM,382074,201085,2,1
012Y,33,2008,15,1,WYCHELM,382074,201085,2,1
012Z,44,2019,4,1,JUNCTION,380841,200432,1,2
013A,39,2014,15,1,KENNEL,382464,200922,2,1
013B,31,2006,16,1,PEGLARS,382355,200596,1,1
013C,41,2016,4,1,MEAD,380390,200637,1,1
013E,38,2013,11,1,YEW,381619,201268,2,1
013E,39,2014,15,1,POPLAR,382132,201047,1,1
013E,40,2015,15,1,POPLAR,382132,201047,1,1
013E,41,2016,11,1,TAXUS,381737,201220,1,1
013F,35,2010,8,1,HONEYWELL,381931,201706,2,1
013F,36,2011,8,1,HONEYWELL,381931,201706,3,1
013F,37,2012,8,1,HONEYWELL,381931,201706,2,1
013G,28,2003,3,1,CHESNUT,380834,201150,2,1
013G,29,2004,3,1,BEECH,380931,201164,1,1
013G,30,2005,3,1,BEECH,380931,201164,1,1
013G,33,2008,3,1,CHESNUT,380834,201150,1,1
013K,37,2012,22,1,WOODFARM,383337,200429,1,1
013L,36,2011,3,1,BEECH,380931,201164,2,1
013L,37,2012,3,1,CHESNUT,380834,201150,2,1
013M,43,2018,15,1,KENNEL,382464,200922,2,1
013M,44,2019,15,1,CULDESAC,382399,200920,2,1
013N,34,2009,3,1,BEECH,380931,201164,1,1
013N,35,2010,3,1,CHESNUT,380834,201150,2,1
013N,36,2011,3,1,BEECH,380931,201164,1,1
013N,37,2012,3,1,BEECH,380931,201164,1,1
013P,33,2008,15,1,KENNEL,382464,200922,2,1
013P,34,2009,15,1,KENNEL,382464,200922,1,1
013P,35,2010,15,1,KENNEL,382464,200922,1,1
013R,29,2004,1,1,WEST,380190,201400,2,1
013T,42,2017,11,1,TAXUS,381737,201220,1,1
013V,40,2015,5,1,JACKSMIREY,380678,200030,2,2
013W,30,2005,999,2,HEDGE,381350,200278,1,1
013Y,32,2007,21,1,COLLIERSWOOD,382931,200706,3,1
013Y,33,2008,21,1,COLLIERSWOOD,382931,200706,2,1
013Y,34,2009,21,1,COLLIERSWOOD,382931,200706,1,1
013Y,36,2011,16,1,WOODRUSH,382713,200607,1,1
013Z,44,2019,1,1,WEST,380190,201400,1,1
013Z,45,2020,1,1,WEST,380190,201400,1,1
014A,39,2014,7,1,BREAKHEART,381370,201620,1,1
014A,40,2015,7,1,BREAKHEART,381370,201620,2,1
014A,41,2016,8,1,HONEYWELL,381931,201706,1,1
014B,31,2006,22,1,WOODFARM,383337,200429,3,1
014B,32,2007,22,1,WOODFARM,383337,200429,2,1
014B,34,2009,22,1,WOODFARM,383337,200429,1,1
014C,41,2016,22,1,WOODFARM,383337,200429,2,1
014C,42,2017,22,1,WOODFARM,383337,200429,1,1
014E,38,2013,11,1,YEW,381619,201268,2,1
014F,35,2010,8,1,HONEYWELL,381931,201706,1,1
014G,28,2003,10,1,SEPTICTANK,381357,201285,2,1
014G,29,2004,10,1,HUNTINGGATE,381247,201345,1,1
014K,37,2012,12,1,TOP,381795,200962,1,1
014L,36,2011,3,1,BEECH,380931,201164,2,1
014L,37,2012,3,1,CHESNUT,380834,201150,2,1
014M,43,2018,15,1,KENNEL,382464,200922,2,1
014M,44,2019,15,1,KENNEL,382464,200922,1,1
014N,34,2009,4,1,MEAD,380390,200637,2,1
014N,35,2010,4,1,ARTHURS,380534,200550,2,1
014N,36,2011,4,1,MEAD,380390,200637,1,1
014N,37,2012,4,1,MEAD,380390,200637,1,1
014P,33,2008,15,1,WYCHELM,382074,201085,2,1
014P,34,2009,15,1,POPLAR,382132,201047,3,1
014P,35,2010,15,1,WYCHELM,382074,201085,3,1
014P,36,2011,15,1,KENNEL,382464,200922,2,1
014P,37,2012,18,1,NETTLE,383024,201142,1,1
014R,29,2004,1,1,WEST,380190,201400,1,1
014T,42,2017,11,1,TAXUS,381737,201220,1,1
014V,40,2015,4,1,JUNCTION,380841,200432,1,2
014W,30,2005,5,1,JACKSMIREY,380678,200030,2,1
014Y,32,2007,21,1,COLLIERSWOOD,382931,200706,2,1
014Z,44,2019,3,1,CHESNUT,380834,201150,2,1
014Z,45,2020,3,1,BEECH,380931,201164,1,1
015A,39,2014,999,2,INCHBROOK,384013,200739,2,1
015B,31,2006,18,1,HOLLOWTREE,382930,201326,1,1
015B,32,2007,18,1,NETTLE,383024,201142,3,1
015B,33,2008,20,1,SCOTLANDBANK,383412,200931,2,1
015B,34,2009,19,1,DAM,383126,200958,1,1
