tattoo,year,n_year_encounters,n_distinct_setts,n_distinct_socg,annual_socg,annual_sett,annual_x,annual_y,annual_sett_n_encounters,annual_sett_latest_date,has_annual_xy,in_infection_model,in_phase2
002H,2020,1,1,1,TOP,TOP,381795,200962,1,2020-01-21,TRUE,TRUE,FALSE
002J,2023,3,3,1,BEECH,CHESNUT,380834,201150,1,2023-07-18,TRUE,TRUE,FALSE
002K,2012,2,1,1,BREAKHEART,BOXWOOD,381241,201774,2,2012-06-26,TRUE,TRUE,TRUE
002K,2013,1,1,1,BREAKHEART,BOXWOOD,381241,201774,1,2013-06-18,TRUE,TRUE,TRUE
002K,2014,2,2,1,BREAKHEART,BOXWOOD,381241,201774,1,2014-11-04,TRUE,TRUE,TRUE
002K,2015,3,2,2,BOXWOOD,BOXWOOD,381241,201774,2,2015-09-08,TRUE,TRUE,TRUE
002K,2016,2,2,2,BOXWOOD,BREAKHEART,381370,201620,1,2016-10-19,TRUE,TRUE,TRUE
002K,2017,2,2,1,BOXWOOD,BOXWOOD,381241,201774,1,2017-01-24,TRUE,TRUE,TRUE
002L,2011,1,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,1,2011-01-25,TRUE,TRUE,FALSE
002M,2018,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2018-01-30,TRUE,TRUE,FALSE
002N,2009,2,2,2,TOP,YEW,381619,201268,1,2009-10-27,TRUE,TRUE,TRUE
002N,2010,2,1,1,TOP,TOP,381795,200962,2,2010-09-21,TRUE,TRUE,TRUE
002N,2011,4,3,2,WYCHELM,WYCHELM,382074,201085,2,2011-07-12,TRUE,TRUE,TRUE
002P,2008,3,2,1,ARTHURS,MEAD,380390,200637,2,2008-10-21,TRUE,TRUE,TRUE
002P,2009,2,1,1,ARTHURS,MEAD,380390,200637,2,2009-07-21,TRUE,TRUE,TRUE
002P,2010,1,1,1,ARTHURS,ARTHURS,380534,200550,1,2010-05-11,TRUE,TRUE,TRUE
002P,2012,1,1,1,ARTHURS,MEAD,380390,200637,1,2012-05-30,TRUE,TRUE,TRUE
002Q,2024,2,2,2,CEDAR,YEW,381619,201268,1,2024-08-06,TRUE,TRUE,FALSE
002Q,2025,1,1,1,BOXWOOD,BOXWOOD,381241,201774,1,2025-05-20,TRUE,TRUE,FALSE
002R,2004,1,1,1,LARCH,BOX,380621,201409,1,2004-01-14,TRUE,TRUE,FALSE
002S,2021,2,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,2,2021-08-24,TRUE,TRUE,FALSE
002T,2017,2,2,1,NETTLE,HOLLOWTREE,382930,201326,1,2017-07-11,TRUE,TRUE,TRUE
002T,2019,1,1,1,NETTLE,NETTLE,383024,201142,1,2019-10-02,TRUE,TRUE,TRUE
002U,2026,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2026-06-09,TRUE,TRUE,FALSE
002V,2015,3,2,2,BOXWOOD,BOXWOOD,381241,201774,2,2015-09-08,TRUE,TRUE,TRUE
