tattoo,date,year,quarter,Diagnostic model: fixed prevalence,Diagnostic model: annual prevalence,Diagnostic model: adjusted annual,All tests (fixed),All tests (inferred),Culture only (fixed)
E034,1992-11-03,1992,4,0.107280137099415,0.107280137099415,0.0328406976078873,1.26959114684003e-4,1.7230299102109384e-8,0.08043140944955189
E034,1993-06-22,1993,2,0.107280137099415,0.107280137099415,0.0203243807015668,3.4369483419776704e-4,1.3257011058972856e-7,0.10201550748092328
E034,1993-08-17,1993,3,0.107280137099415,0.107280137099415,0.0203243807015668,4.577029258322373e-4,3.1257079624352973e-7,0.10468214647851208
E034,1994-02-22,1994,1,0.107280137099415,0.107280137099415,0.0229275745481719,8.332092870817296e-4,1.9618594160477896e-6,0.12963467707714404
E034,1994-09-06,1994,3,0.107280137099415,0.107280137099415,0.0229275745481719,0.0021822476827091097,1.2116644573695551e-5,0.14380435617141377
E034,1995-07-05,1995,3,0.107280137099415,0.107280137099415,0.0296022346798986,0.006890354431449865,1.1261451355145657e-4,0.19751962690923783
E034,1995-08-22,1995,3,0.107280137099415,0.107280137099415,0.0296022346798986,0.006890354431449865,1.1261451355145657e-4,0.19751962690923783
E034,1996-02-13,1996,1,0.107280137099415,0.107280137099415,0.0402747785821037,0.013549591413954653,0.0011635814582560851,0.24541031446556572
E034,1996-07-23,1996,3,0.107280137099415,0.107280137099415,0.0402747785821037,0.03758724725987039,0.007875683374526947,0.27210930296667724
E035,1988-05-24,1988,2,0.107280137099415,0.107280137099415,0.0304041412798923,0.00268349820833922,2.9127093627667777e-5,0.04446522315573607
E035,1988-08-02,1988,3,0.107280137099415,0.107280137099415,0.0304041412798923,0.0037776794537321377,8.189447301723786e-5,0.05017520260465452
E035,1988-10-18,1988,4,0.107280137099415,0.107280137099415,0.0304041412798923,0.0043750814710238305,2.1186422810476932e-4,0.05768928883504136
E035,1989-02-07,1989,1,0.107280137099415,0.107280137099415,0.0553616290696165,0.008336464398011407,0.001043662418147462,0.09739283080109784
E035,1989-06-07,1989,2,0.107280137099415,0.107280137099415,0.0553616290696165,0.01981910589226218,0.004981216972964095,0.1165388310139999
E036,1988-05-25,1988,2,0.107280137099415,0.107280137099415,0.0304041412798923,1.754839066033672e-5,7.96269857372319e-11,0.019670242212575927
E036,1988-08-02,1988,3,0.107280137099415,0.107280137099415,0.0304041412798923,2.4703647886780707e-5,2.2388124672718548e-10,0.022196186553295322
