tattoo,primary,origin_year,origin_SG,origin_zone,origin_sett,origin_x,origin_y,n_loc_obs,entry_group,next_primary,next_year,dest_x,dest_y,dest_SG,dest_zone,dest_sett,observed_category,observed_distance_m
015C,42,2017,22,1,WOODFARM,383337,200429,4,1,43,2018,383337,200429,22,1,WOODFARM,same_SG,0
015C,43,2018,22,1,WOODFARM,383337,200429,4,1,44,2019,383337,200429,22,1,WOODFARM,same_SG,0
015E,38,2013,10,1,HUNTINGGATE,381247,201345,2,1,39,2014,381247,201345,10,1,HUNTINGGATE,same_SG,0
015G,28,2003,15,1,WYCHELM,382074,201085,3,1,29,2004,382074,201085,15,1,WYCHELM,same_SG,0
015L,36,2011,3,1,BEECH,380931,201164,1,1,37,2012,380834,201150,3,1,CHESNUT,same_SG,98.00510190801293
015M,43,2018,22,1,WOODFARM,383337,200429,3,1,44,2019,383337,200429,22,1,WOODFARM,same_SG,0
015P,33,2008,15,1,POPLAR,382132,201047,1,1,34,2009,382132,201047,15,1,POPLAR,same_SG,0
015P,34,2009,15,1,POPLAR,382132,201047,2,1,35,2010,382464,200922,15,1,KENNEL,same_SG,354.7520260689148
015P,35,2010,15,1,KENNEL,382464,200922,3,1,36,2011,382464,200922,15,1,KENNEL,same_SG,0
015P,36,2011,15,1,KENNEL,382464,200922,2,1,37,2012,382713,200607,16,1,WOODRUSH,neighbour_SG,401.529575498493
015P,37,2012,16,1,WOODRUSH,382713,200607,3,1,38,2013,382464,200922,15,1,KENNEL,neighbour_SG,401.529575498493
015P,38,2013,15,1,KENNEL,382464,200922,2,1,39,2014,382464,200922,15,1,KENNEL,same_SG,0
015P,39,2014,15,1,KENNEL,382464,200922,2,1,40,2015,382464,200922,15,1,KENNEL,same_SG,0
015T,42,2017,15,1,KENNEL,382464,200922,3,1,43,2018,382464,200922,15,1,KENNEL,same_SG,0
015T,43,2018,15,1,KENNEL,382464,200922,2,1,44,2019,382464,200922,15,1,KENNEL,same_SG,0
015V,40,2015,15,1,KENNEL,382464,200922,3,1,41,2016,382464,200922,15,1,KENNEL,same_SG,0
015V,41,2016,15,1,KENNEL,382464,200922,4,1,42,2017,382464,200922,15,1,KENNEL,same_SG,0
015V,42,2017,15,1,KENNEL,382464,200922,2,1,43,2018,382399,200920,15,1,CULDESAC,same_SG,65.03076195155643
016B,31,2006,8,1,CHAIN,381946,201669,1,1,32,2007,381942,201770,8,1,BEND,same_SG,101.07917688624102
016B,32,2007,8,1,BEND,381942,201770,1,1,33,2008,381931,201706,8,1,HONEYWELL,same_SG,64.93843238021688
016B,33,2008,8,1,HONEYWELL,381931,201706,1,1,34,2009,381931,201706,8,1,HONEYWELL,same_SG,0
016B,34,2009,8,1,HONEYWELL,381931,201706,1,1,35,2010,381931,201706,8,1,HONEYWELL,same_SG,0
016C,41,2016,11,1,YEW,381619,201268,2,1,42,2017,381619,201268,11,1,YEW,same_SG,0
016C,42,2017,11,1,YEW,381619,201268,2,1,43,2018,381619,201268,11,1,YEW,same_SG,0
016G,28,2003,16,1,WOODRUSH,382713,200607,2,1,29,2004,382786,200771,16,1,FORK,same_SG,179.51323071016242
016G,29,2004,16,1,FORK,382786,200771,2,1,30,2005,382931,200706,21,1,COLLIERSWOOD,neighbour_SG,158.90248582070703
016M,43,2018,22,1,WOODFARM,383337,200429,2,1,44,2019,383337,200429,22,1,WOODFARM,same_SG,0
